timestamp,elapsed_ms,counts,temp_c,temp_f
1784428596,30748607,79,19.750000,67.550003
1784428606,30758619,80,20.000000,68.000000
1784428617,30768631,81,20.250000,68.449997
1784428627,30778643,81,20.250000,68.449997
1784428637,30788655,83,20.750000,69.349998
1784428647,30798667,82,20.500000,68.900002
1784428657,30808678,82,20.500000,68.900002
1784428667,30818690,80,20.000000,68.000000
1784428677,30828702,78,19.500000,67.099998
1784428687,30838714,79,19.750000,67.550003
1784428697,30848726,84,21.000000,69.800003
1784428707,30858738,85,21.250000,70.250000
1784428717,30868750,83,20.750000,69.349998
1784428727,30878762,85,21.250000,70.250000
1784428737,30888774,84,21.000000,69.800003
1784428747,30898786,85,21.250000,70.250000
1784428757,30908798,85,21.250000,70.250000
1784428767,30918809,85,21.250000,70.250000
1784428777,30928821,85,21.250000,70.250000
1784428787,30938833,86,21.500000,70.699997
1784428797,30948845,85,21.250000,70.250000
1784428807,30958857,86,21.500000,70.699997
1784428817,30968869,86,21.500000,70.699997
1784428827,30978881,87,21.750000,71.150002
1784428837,30988893,85,21.250000,70.250000
1784428847,30998905,86,21.500000,70.699997
1784428857,31008917,86,21.500000,70.699997
1784428867,31018928,86,21.500000,70.699997
1784428877,31028940,87,21.750000,71.150002
1784428887,31038952,87,21.750000,71.150002
1784428897,31048964,88,22.000000,71.599998
1784428907,31058976,85,21.250000,70.250000
1784428917,31068988,87,21.750000,71.150002
1784428927,31079000,88,22.000000,71.599998
1784428937,31089012,85,21.250000,70.250000
1784428947,31099024,86,21.500000,70.699997
1784428957,31109036,88,22.000000,71.599998
timestamp,elapsed_ms,counts,temp_c,temp_f
1784428982,31134065,86,21.500000,70.699997
1784428992,31144077,87,21.750000,71.150002
1784429002,31154089,87,21.750000,71.150002
1784429012,31164101,88,22.000000,71.599998
1784429022,31174113,87,21.750000,71.150002
1784429032,31184125,87,21.750000,71.150002
1784429042,31194137,88,22.000000,71.599998
1784429052,31204149,94,23.500000,74.300003
1784429062,31214161,88,22.000000,71.599998
1784429072,31224173,94,23.500000,74.300003
1784429082,31234184,88,22.000000,71.599998
1784429092,31244196,88,22.000000,71.599998
1784429102,31254208,88,22.000000,71.599998
1784429112,31264220,87,21.750000,71.150002
1784429122,31274232,88,22.000000,71.599998
1784429132,31284244,88,22.000000,71.599998
1784429142,31294256,89,22.250000,72.050003
1784429152,31304268,89,22.250000,72.050003
1784429162,31314280,88,22.000000,71.599998
1784429172,31324292,87,21.750000,71.150002
1784429182,31334304,88,22.000000,71.599998
1784429192,31344315,87,21.750000,71.150002
1784429202,31354327,88,22.000000,71.599998
1784429212,31364339,88,22.000000,71.599998
1784429222,31374351,89,22.250000,72.050003
1784429232,31384363,89,22.250000,72.050003
